level	group	dataset	initial_cells	fail_nCount_low	fail_nCount_high	fail_nFeature_low	fail_nFeature_high	fail_mt	fail_hb	failure_overlap	QC_pass	removed	retention_pct	mt_qc_available
dataset	CNP0000460	CNP0000460	94588	0	0	0	0	837	124	0	93627	961	98.9840148856092	TRUE
dataset	GSE135337	GSE135337	40815	210	78	381	32	186	0	213	40157	658	98.3878476050472	TRUE
dataset	GSE222315	GSE222315	84483	109	397	104	1	7027	37	91	76905	7578	91.0301480771279	TRUE
dataset	HRA003620	HRA003620	95275	525	29	799	0	6317	11	520	88224	7051	92.5993177643663	TRUE
dataset	InhouseData	InhouseData	95305	15	77	794	0	0	17	15	94417	888	99.0682545511778	FALSE
