orig.ident	dataset	initial_cells	MAD_constant	log_nCount_median	log_nCount_MAD	log_nCount_lower	log_nCount_upper	nCount_lower	nCount_upper	log_nFeature_median	log_nFeature_MAD	log_nFeature_lower	log_nFeature_upper	nFeature_lower	nFeature_upper	mt_qc_available	n_MT_features	percent_mt_median	percent_mt_MAD	percent_mt_MAD_upper	mt_final_cutoff	hb_cutoff
CNP0000460_P01N	CNP0000460	12987	1.4826	8.14031554015999	1.2075896164927	4.51754669068188	14.1782636226235	90.610572990715	1437279.89996818	7.3790081276283	0.828363679978914	4.89391708769156	11.5208265275229	132.475386184485	100792.235831634	TRUE	37	8.44189682126107	3.87266672087569	20.0598969838882	20.0598969838882	5
CNP0000460_P01T	CNP0000460	10900	1.4826	9.02177938856961	1.06023806727018	5.84106518675906	14.3229697249205	343.145724965893	1661064.33892104	8.01532725445282	0.618880686008155	6.15868519642835	11.1097306844936	471.806018941393	66817.1937851185	TRUE	37	8.40438972576251	4.88479829447192	23.0587846091783	23.0587846091783	5
CNP0000460_P02N	CNP0000460	4372	1.4826	8.15966069617699	0.723689767775203	5.98859139285138	11.778109535053	397.852387720375	130366.092050861	7.35308192051543	0.406138271511989	6.13466710597947	9.38377327807537	460.585409417222	11892.8088388945	TRUE	37	4.15620548759573	2.5041680437765	11.6687096189252	11.6687096189252	5
CNP0000460_P02T	CNP0000460	10006	1.4826	8.25608813381491	0.935492409214991	5.44961090616994	12.9335501798899	231.667618758221	413969.576857727	7.34794382314869	0.654583827479858	5.38419234070911	10.620862960548	216.934016574389	40979.9646295364	TRUE	37	10.7577476989189	6.30205022395326	29.6638983707787	25	5
CNP0000460_P03N	CNP0000460	5911	1.4826	8.36822903827628	0.847691072349022	5.82515582122921	12.6066844000214	337.713907783573	298546.521461997	7.46221493976819	0.594029034859157	5.68012783519072	10.432360114064	291.986881562563	33939.358926757	TRUE	37	6.65035587188612	3.6060521835596	17.4685124225649	17.4685124225649	5
CNP0000460_P03T	CNP0000460	5410	1.4826	7.99917508297862	0.827510275838771	5.5166442554623	12.1367264621725	247.798729779046	186599.726766821	7.19406133474772	0.562674035419361	5.50603922848964	10.0074315118445	245.174153985562	22189.7654776208	TRUE	37	7.13435768389552	3.67619129762832	18.1629315767805	18.1629315767805	5
CNP0000460_P04T	CNP0000460	12294	1.4826	8.17329343896623	0.9795180808769	5.23473919633553	13.0708838433507	186.680152289312	474910.544395853	7.35755620091035	0.680278654872049	5.31672023629421	10.7589494752706	202.714649217345	47048.2156951323	TRUE	37	9.09090909090909	5.86519092728239	26.6864818727563	25	5
CNP0000460_P05N	CNP0000460	4615	1.4826	7.62168499872461	0.706442389362302	5.50235783063771	11.1538969455361	244.26955509972	69834.4434394289	7.03174125876313	0.53142802322989	5.43745718907346	9.68888137491258	228.856956934139	16136.1827359583	TRUE	37	5.56088207094918	3.59035993673321	16.3319618811488	16.3319618811488	5
CNP0000460_P05T	CNP0000460	9674	1.4826	8.34021732094704	1.05660888669782	5.17039066085358	13.6232617544361	174.983573950083	825100.55477345	7.59664337110437	0.73091061225691	5.40391153433364	11.2511964323889	221.27415098368	76970.9564375912	TRUE	37	7.62812634004149	4.59528806858938	21.4139905458096	21.4139905458096	5
CNP0000460_P06T	CNP0000460	8960	1.4826	7.7942051476153	0.844840135021209	5.25968474255167	12.0184058227213	191.420819637548	165777.165749908	7.08673793451058	0.612667557910234	5.24873526077987	10.1500757240617	189.325404172239	25592.0401422666	TRUE	37	10.068506006006	4.41127384865634	23.302327551975	23.302327551975	5
CNP0000460_P07N	CNP0000460	4583	1.4826	8.17046857833067	1.15228484993619	4.7136140285221	13.9318928280116	110.454231690861	1123424.24188084	7.32778053842163	0.83994853518768	4.80793493285859	11.52752321436	121.478430001305	101469.481688052	TRUE	37	8.17888799355359	4.82062984834089	22.6407775385763	22.6407775385763	5
CNP0000460_P07T	CNP0000460	4876	1.4826	8.47689184586541	1.08353464766918	5.22628790285787	13.8945650842113	185.100695868219	1082262.3322193	7.59312224048305	0.74429341030665	5.3602420095631	11.3145892920163	211.776434150905	82008.4113331721	TRUE	37	9.2278725268659	4.89750069738825	23.9203746190307	23.9203746190307	5
GSE222315_p1_BCa	GSE222315	8707	1.4826	8.30943074214033	0.978833902531183	5.37292903454678	13.2036002547962	214.493131047616	542312.894970763	7.51152464839087	0.661108070834322	5.5282004358879	10.8170650025625	250.690569920682	49863.5197887247	TRUE	13	1.39603232916973	0.764220932437826	3.68869512648321	3.68869512648321	5
GSE222315_p2_BCa	GSE222315	12863	1.4826	8.51579221050061	1.25679779820263	4.74539881589272	14.7997812015138	114.05368159118	2675858.51712226	7.54433210805369	0.731713696180081	5.34919101951344	11.2029005889541	209.437988761053	73341.8711212905	TRUE	13	1.75761056863871	1.40427845734002	5.97044594065877	5.97044594065877	5
GSE222315_p2_NAT	GSE222315	9171	1.4826	7.87511928104029	0.405072000359418	6.65990327996204	9.90047928283738	779.475445861353	19938.9250122127	6.97914527506881	0.278615844179176	6.14329774253128	8.37222449596469	464.586426148571	4324.2468633344	TRUE	13	0.564546480993602	0.374487080658722	1.68800772296977	1.68800772296977	5
GSE222315_p3_BCa	GSE222315	7782	1.4826	7.93128476152589	0.653386843566514	5.97112423082635	11.1982189793585	390.946060997398	72999.3109243013	7.05444965813294	0.438948213213189	5.73760501849337	9.24919072419889	309.320308880785	10395.1489595035	TRUE	13	1.43852264498072	0.899427774024234	4.13680596705342	4.13680596705342	5
GSE222315_p4_BCa	GSE222315	5769	1.4826	8.19560956728878	0.818582986429681	5.73986060799973	12.2885244994372	310.021054112805	217188.277620922	7.41034709782102	0.61601601823334	5.562299043121	10.4904271889877	259.420867413699	35968.5198863652	TRUE	13	1.50080139880519	0.897188467348194	4.19236680084977	4.19236680084977	5
