level	group	dataset	initial_cells	fail_nCount_low	fail_nCount_high	fail_nFeature_low	fail_nFeature_high	fail_mt	fail_hb	failure_overlap	QC_pass	removed	retention_pct	mt_qc_available
orig.ident	CNP0000460_P01N	CNP0000460	12987	0	0	0	0	0	45	0	12942	45	99.6534996534997	TRUE
orig.ident	CNP0000460_P01T	CNP0000460	10900	0	0	0	0	0	3	0	10897	3	99.9724770642202	TRUE
orig.ident	CNP0000460_P02N	CNP0000460	4372	0	0	0	0	248	7	0	4117	255	94.167429094236	TRUE
orig.ident	CNP0000460_P02T	CNP0000460	10006	0	0	0	0	0	1	0	10005	1	99.9900059964021	TRUE
orig.ident	CNP0000460_P03N	CNP0000460	5911	0	0	0	0	237	12	0	5662	249	95.7875148029098	TRUE
orig.ident	CNP0000460_P03T	CNP0000460	5410	0	0	0	0	171	15	0	5224	186	96.5619223659889	TRUE
orig.ident	CNP0000460_P04T	CNP0000460	12294	0	0	0	0	0	7	0	12287	7	99.9430616560924	TRUE
orig.ident	CNP0000460_P05N	CNP0000460	4615	0	0	0	0	181	30	0	4404	211	95.4279523293608	TRUE
orig.ident	CNP0000460_P05T	CNP0000460	9674	0	0	0	0	0	0	0	9674	0	100	TRUE
orig.ident	CNP0000460_P06T	CNP0000460	8960	0	0	0	0	0	1	0	8959	1	99.9888392857143	TRUE
orig.ident	CNP0000460_P07N	CNP0000460	4583	0	0	0	0	0	3	0	4580	3	99.9345406938686	TRUE
orig.ident	CNP0000460_P07T	CNP0000460	4876	0	0	0	0	0	0	0	4876	0	100	TRUE
orig.ident	GSE222315_p1_BCa	GSE222315	8707	0	0	0	0	606	2	0	8099	608	93.0171126679683	TRUE
orig.ident	GSE222315_p2_BCa	GSE222315	12863	0	0	0	0	808	0	0	12055	808	93.7184171655135	TRUE
orig.ident	GSE222315_p2_NAT	GSE222315	9171	0	381	0	1	587	9	1	8194	977	89.3468542143714	TRUE
orig.ident	GSE222315_p3_BCa	GSE222315	7782	0	0	0	0	521	0	0	7261	521	93.3050629658185	TRUE
orig.ident	GSE222315_p4_BCa	GSE222315	5769	0	0	0	0	472	1	0	5296	473	91.8010053735483	TRUE
orig.ident	GSE222315_p4_NAT	GSE222315	6297	0	0	0	0	332	19	0	5946	351	94.4259171033826	TRUE
