orig.ident	initial_cells	fail_nCount	fail_nFeature	fail_mt	fail_hb	overlap	final_QC_pass	retention_rate
CNP0000460_P01N	12987	0	0	1188	45	3	11757	0.905289905289905
CNP0000460_P01T	10900	0	764	502	3	36	9667	0.886880733944954
CNP0000460_P02N	4372	219	354	483	7	269	3626	0.829368709972553
CNP0000460_P02T	10006	33	17	0	1	13	9968	0.99620227863282
CNP0000460_P03N	5911	72	29	730	12	28	5099	0.862628996785654
CNP0000460_P03T	5410	469	563	596	15	493	4367	0.80720887245841
CNP0000460_P04T	12294	152	0	0	7	0	12135	0.987066861883846
CNP0000460_P05N	4615	289	212	490	30	233	3866	0.837703141928494
CNP0000460_P05T	9674	3	0	372	0	0	9299	0.961236303493901
CNP0000460_P06T	8960	52	8	234	1	8	8673	0.96796875
CNP0000460_P07N	4583	1	0	286	3	0	4293	0.93672267073969
CNP0000460_P07T	4876	0	0	127	0	0	4749	0.973954060705496
GSE222315_p1_BCa	8707	32	0	1002	2	1	7672	0.881130125186631
GSE222315_p2_BCa	12863	1	0	1140	0	0	11722	0.911295965171422
GSE222315_p2_NAT	9171	1047	700	951	9	558	7081	0.772107730890852
GSE222315_p3_BCa	7782	866	604	853	0	559	6026	0.774351066563865
GSE222315_p4_BCa	5769	324	19	696	1	29	4759	0.824926330386549
GSE222315_p4_NAT	6297	738	593	569	19	545	4932	0.783230109575989
GSE222315_p5_BCa	6492	15	0	988	1	1	5489	0.845502156500308
GSE222315_p5_NAT	5545	577	442	620	2	418	4369	0.787917042380523
GSE222315_p6_BCa	4991	565	460	1053	0	473	3459	0.693047485473853
GSE222315_p7_BCa	4728	94	0	675	1	1	3959	0.837351945854484
GSE222315_p8_BCa	6310	91	172	923	2	115	5277	0.836291600633914
GSE222315_p9_BCa	5828	0	237	1111	0	62	4542	0.779341111873713
GSM4006644_BC1	3135	191	71	162	0	72	2784	0.888038277511962
GSM4006645_BC2	4806	327	232	88	0	216	4376	0.910528506034124
GSM4006646_BC3	3023	97	111	0	0	90	2905	0.960965927886206
GSM4006647_BC4	4920	373	299	200	0	298	4352	0.884552845528455
GSM4006648_BC5	8045	826	883	592	0	729	6598	0.820136730888751
GSM4751267_BC6	5863	614	720	187	0	566	4968	0.847347774177042
GSM4751268_BC7	5279	504	453	0	0	390	4712	0.892593294184505
GSM5329919_BCN	5744	475	429	0	0	386	5226	0.909818941504178
HRA003620_BC-01	7339	998	582	736	0	556	5790	0.788935822319117
HRA003620_BC-04	4075	501	768	213	0	506	3115	0.76441717791411
HRA003620_BC-05	7024	0	2	578	0	0	6444	0.917425968109339
HRA003620_BC-11	7804	841	591	790	0	549	6280	0.804715530497181
HRA003620_BC-24	8336	50	71	180	0	38	8075	0.968690019193858
HRA003620_BC-27	5209	137	79	713	0	64	4365	0.837972739489345
HRA003620_BC-30	9330	259	129	1406	0	95	7665	0.821543408360129
HRA003620_NC-01	2021	277	216	252	1	192	1549	0.766452251360712
HRA003620_NC-04	6505	650	577	866	6	572	5165	0.794004611837048
HRA003620_NC-05	6468	42	19	1126	0	15	5296	0.818800247371676
HRA003620_NC-11	7111	621	488	897	4	437	5659	0.795809309520461
HRA003620_NC-24	4356	0	36	362	0	1	3959	0.908861340679523
HRA003620_NC-27	8207	22	2	1816	0	12	6379	0.777263311806994
HRA003620_NC-30	11490	1263	1143	1605	0	1077	8688	0.756135770234987
T4091568	6982	154	426	0	0	0	6402	0.916929246634202
T4295396	6567	1053	906	0	0	748	5356	0.815593117100655
T4380845	3510	274	246	0	0	186	3176	0.904843304843305
T4398343	9618	967	536	0	0	350	8465	0.880120607194843
T4450398	13400	66	24	0	0	0	13310	0.993283582089552
T4463209a	8336	329	453	0	0	38	7592	0.910748560460653
T4463209b	5274	596	457	0	3	363	4581	0.868600682593857
T4465219	12964	15	33	0	1	0	12915	0.99622030237581
T4465935	4940	467	498	0	0	249	4224	0.855060728744939
T4466585	3774	8	0	0	4	0	3762	0.996820349761526
T4469479	5246	18	436	0	1	0	4791	0.913267251239039
T4471438	9830	892	635	0	2	510	8811	0.896337741607324
T8009218	4864	24	5	0	6	0	4829	0.992804276315789
