orig.ident	n_cells_preQC	n_cells_current	expected_rate	pN	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	preliminary_HVG	preliminary_PCs	preliminary_resolution	JoinLayers_applied	warning_count	elapsed_seconds
CNP0000460_P01N	12987	11757	0.08	0.25	0.03	941	0.0975256803753367	849	3000	1:30	0.8	TRUE	0	290.862123727798
CNP0000460_P01T	10900	9667	0.08	0.25	0.13	773	0.0873395543620778	705	3000	1:30	0.8	TRUE	0	300.084415197372
CNP0000460_P02N	4372	3626	0.034976	0.25	0.26	127	0.0877613996359564	116	3000	1:30	0.8	TRUE	0	89.0460007190704
CNP0000460_P02T	10006	9968	0.08	0.25	0.27	797	0.144491667074607	682	3000	1:30	0.8	TRUE	0	270.218170881271
CNP0000460_P03N	5911	5099	0.047288	0.25	0.27	241	0.0889960273157475	220	3000	1:30	0.8	TRUE	0	130.038599491119
CNP0000460_P03T	5410	4367	0.04328	0.25	0.27	189	0.0967894238115886	171	3000	1:30	0.8	TRUE	0	104.033082723618
CNP0000460_P04T	12294	12135	0.08	0.25	0.03	971	0.0999325708292355	874	3000	1:30	0.8	TRUE	0	278.03128695488
CNP0000460_P05N	4615	3866	0.03692	0.25	0.01	143	0.0997563488076641	129	3000	1:30	0.8	TRUE	0	63.0658478736877
CNP0000460_P05T	9674	9299	0.077392	0.25	0.02	720	0.0954487715539615	651	3000	1:30	0.8	TRUE	0	259.994258880615
CNP0000460_P06T	8960	8673	0.07168	0.25	0.02	622	0.116428620550539	550	3000	1:30	0.8	TRUE	0	209.104257583618
CNP0000460_P07N	4583	4293	0.036664	0.25	0.17	157	0.11171263530157	139	3000	1:30	0.8	TRUE	0	107.157780170441
CNP0000460_P07T	4876	4749	0.039008	0.25	0.24	185	0.0839865612563046	169	3000	1:30	0.8	TRUE	0	118.257750988007
GSE222315_p1_BCa	8707	7672	0.069656	0.25	0.26	534	0.0992850034414107	481	3000	1:30	0.8	TRUE	0	146.165838956833
GSE222315_p2_BCa	12863	11722	0.08	0.25	0.1	938	0.102624524978239	842	3000	1:30	0.8	TRUE	0	236.578435897827
GSE222315_p2_NAT	9171	7081	0.073368	0.25	0.005	520	0.14529125432003	444	3000	1:30	0.8	TRUE	0	113.745981216431
GSE222315_p3_BCa	7782	6026	0.062256	0.25	0.07	375	0.111743348245665	333	3000	1:30	0.8	TRUE	0	89.9835538864136
GSE222315_p4_BCa	5769	4759	0.046152	0.25	0.005	220	0.101047987244482	198	3000	1:30	0.8	TRUE	0	72.3814518451691
GSE222315_p4_NAT	6297	4932	0.050376	0.25	0.3	248	0.0768151647482814	229	3000	1:30	0.8	TRUE	0	72.3928394317627
GSE222315_p5_BCa	6492	5489	0.051936	0.25	0.02	285	0.0961476108114804	258	3000	1:30	0.8	TRUE	0	92.88796210289
