group_name	group	initial_cells	Rule_A_retained	Rule_A_removed	Rule_A_retention_percent	Rule_B_retained	Rule_B_removed	Rule_B_retention_percent	Rule_C_retained	Rule_C_removed	Rule_C_retention_percent	B_minus_A_cells	C_minus_A_cells
dataset	CNP0000460	94588	87499	7089	92.5053918044572	88659	5929	93.7317630143359	88684	5904	93.7581934283419	1160	1185
dataset	GSE135337	40815	35921	4894	88.0093103025848	38137	2678	93.4386867573196	38644	2171	94.6808771285067	2216	2723
dataset	GSE222315	84483	69287	15196	82.012949350757	71737	12746	84.9129410650663	72878	11605	86.2635086348733	2450	3591
dataset	HRA003620	95275	78429	16846	82.31855156127	81074	14201	85.0947257937549	81641	13634	85.6898451849908	2645	3212
dataset	InhouseData	95305	88214	7091	92.559676827029	91508	3797	96.0159487959708	92162	3143	96.7021667278737	3294	3948
