level	dataset	orig.ident	n_HB_genes_present	median_percent_hb	p95_percent_hb	p99_percent_hb	max_percent_hb	above_5pct_cells	above_5pct_percent
dataset	CNP0000460	ALL	10	0	0.0609384521633151	0.182492579130951	80.0933488914819	124	0.131094853469785
dataset	GSE135337	ALL	7	0	0	0.0191773469737506	4.72149993157247	0	0
dataset	GSE222315	ALL	10	0	0	0.0452683365780645	60.5646228495809	37	0.0437957932365091
dataset	HRA003620	ALL	9	0	0	0.00768220864963946	37.6459202806508	11	0.0115455261086329
dataset	InhouseData	ALL	9	0	0	0.053921147070035	32.3443104010434	17	0.0178374691779025
orig.ident	CNP0000460	CNP0000460_P01N	9	0	0.144717800289436	0.831695195317001	63.9051026172096	45	0.346500346500347
orig.ident	CNP0000460	CNP0000460_P01T	8	0	0.00738367055038229	0.0374696179304647	24.4883556810162	3	0.0275229357798165
orig.ident	CNP0000460	CNP0000460_P02N	8	0.0156488440774791	0.122403299381366	0.332203056661261	80.0933488914819	7	0.160109789569991
orig.ident	CNP0000460	CNP0000460_P02T	8	0	0	0.0122226311594054	17.1044667715773	1	0.0099940035978413
orig.ident	CNP0000460	CNP0000460_P03N	9	0	0.0395961583808707	0.0789889415481833	62.9098360655738	12	0.203011334799526
orig.ident	CNP0000460	CNP0000460_P03T	9	0.0252961761063491	0.109340404911476	0.19533092938513	71.2278106508876	15	0.277264325323475
orig.ident	CNP0000460	CNP0000460_P04T	7	0	0.04832553098048	0.101309156096649	54.356846473029	7	0.0569383439075972
orig.ident	CNP0000460	CNP0000460_P05N	7	0	0.0966183574879227	2.15226370252274	35.75489576753	30	0.650054171180932
orig.ident	CNP0000460	CNP0000460_P05T	6	0	0.00972809540087286	0.0475878522201066	4.59803354540197	0	0
orig.ident	CNP0000460	CNP0000460_P06T	5	0	0	0.0491569494537257	11.8255728011826	1	0.0111607142857143
orig.ident	CNP0000460	CNP0000460_P07N	5	0	0.0111080258567067	0.0654018701227269	33.2907348242812	3	0.065459306131355
orig.ident	CNP0000460	CNP0000460_P07T	6	0	0	0.0273560403813931	0.495750708215297	0	0
orig.ident	GSE222315	GSE222315_p1_BCa	4	0	0	0	58.4479911942763	2	0.0229700241185253
orig.ident	GSE222315	GSE222315_p2_BCa	5	0	0	0.0418445324102934	1.23336579032782	0	0
orig.ident	GSE222315	GSE222315_p2_NAT	6	0	0	0.0350735664599512	34.8083427282976	9	0.098135426889107
orig.ident	GSE222315	GSE222315_p3_BCa	6	0	0	0.0563485920457185	0.320675105485232	0	0
orig.ident	GSE222315	GSE222315_p4_BCa	6	0	0	0.0265007857745352	45.310566691413	1	0.0173340266944011
