dataset_name	object_name	metadata_field
HRA003620	qs_object	orig.ident
HRA003620	qs_object	nCount_RNA
HRA003620	qs_object	nFeature_RNA
HRA003620	qs_object	percent.mt
HRA003620	qs_object	doublet.class
HRA003620	qs_object	pANN
GSE135337	GSE135337_scRNA_original	orig.ident
GSE135337	GSE135337_scRNA_original	nCount_RNA
GSE135337	GSE135337_scRNA_original	nFeature_RNA
GSE135337	GSE135337_scRNA_original	percent.mt
GSE135337	GSE135337_scRNA_original	doublet.class
GSE135337	GSE135337_scRNA_original	pANN
GSE222315	GSE222315_scRNA_original	orig.ident
GSE222315	GSE222315_scRNA_original	nCount_RNA
GSE222315	GSE222315_scRNA_original	nFeature_RNA
GSE222315	GSE222315_scRNA_original	percent.mt
GSE222315	GSE222315_scRNA_original	doublet.class
GSE222315	GSE222315_scRNA_original	pANN
CNP0000460	CNP0000460_scRNA_original	orig.ident
CNP0000460	CNP0000460_scRNA_original	nCount_RNA
CNP0000460	CNP0000460_scRNA_original	nFeature_RNA
CNP0000460	CNP0000460_scRNA_original	percent.mt
CNP0000460	CNP0000460_scRNA_original	doublet.class
CNP0000460	CNP0000460_scRNA_original	pANN
InhouseData	InhouseData_scRNA_original	orig.ident
InhouseData	InhouseData_scRNA_original	nCount_RNA
InhouseData	InhouseData_scRNA_original	nFeature_RNA
InhouseData	InhouseData_scRNA_original	percent.mt
InhouseData	InhouseData_scRNA_original	doublet.class
InhouseData	InhouseData_scRNA_original	pANN
