file_path	file_name	file_type	dataset_name	object_name	object_class	is_seurat	seurat_object_version	assays	has_RNA_assay	RNA_layers	rownames_type	n_cells	n_features	duplicate_barcodes_within_object	has_nFeature_RNA	has_nCount_RNA	has_orig_ident	n_orig_ident	existing_dataset_field	audit_status
/home/jinshengxi/LLPS/1.1 单细胞数据/HRA003620_scRNA.qs	HRA003620_scRNA.qs	qs	HRA003620	qs_object	Seurat	TRUE	5.4.0	RNA	TRUE	counts.HRA003620_BC-01.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-04.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-05.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-11.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-24.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-27.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_BC-30.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_NC-01.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_NC-04.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_NC-05.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_NC-11.SeuratProject.SeuratProject.SeuratProject;counts.HRA003620_NC-24.SeuratProject.SeuratProject;counts.HRA003620_NC-27.SeuratProject;counts.HRA003620_NC-30	character	95275	53279	0	TRUE	TRUE	TRUE	14	FALSE	OK
/home/jinshengxi/LLPS/1.1 单细胞数据/GSE135337_scRNA_original.rdata	GSE135337_scRNA_original.rdata	rdata	GSE135337	GSE135337_scRNA_original	Seurat	TRUE	5.0.2	RNA	TRUE	counts.GSM4006644_BC1.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSM4006645_BC2.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSM4006646_BC3.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSM4006647_BC4.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSM4006648_BC5.SeuratProject.SeuratProject.SeuratProject;counts.GSM4751267_BC6.SeuratProject.SeuratProject;counts.GSM4751268_BC7.SeuratProject;counts.GSM5329919_BCN	character	40815	21854	0	TRUE	TRUE	TRUE	8	FALSE	OK
/home/jinshengxi/LLPS/1.1 单细胞数据/GSE222315_scRNA_original.rdata	GSE222315_scRNA_original.rdata	rdata	GSE222315	GSE222315_scRNA_original	Seurat	TRUE	5.0.2	RNA	TRUE	counts.GSE222315_p1_BCa.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p2_NAT.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p2_BCa.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p3_BCa.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p4_NAT.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p4_BCa.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p5_NAT.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p5_BCa.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p6_BCa.SeuratProject.SeuratProject.SeuratProject;counts.GSE222315_p7_BCa.SeuratProject.SeuratProject;counts.GSE222315_p8_BCa.SeuratProject;counts.GSE222315_p9_BCa	character	84483	30971	0	TRUE	TRUE	TRUE	12	FALSE	OK
/home/jinshengxi/LLPS/1.1 单细胞数据/CNP0000460_scRNA_original.rdata	CNP0000460_scRNA_original.rdata	rdata	CNP0000460	CNP0000460_scRNA_original	Seurat	TRUE	5.0.2	RNA	TRUE	counts.CNP0000460_P01N.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P02N.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P03N.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P05N.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P07N.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P01T.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P02T.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P03T.SeuratProject.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P04T.SeuratProject.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P05T.SeuratProject.SeuratProject.SeuratProject;counts.CNP0000460_P06T.SeuratProject.SeuratProject;counts.CNP0000460_P07T.SeuratProject	character	94588	50990	0	TRUE	TRUE	TRUE	12	FALSE	OK
/home/jinshengxi/LLPS/1.1 单细胞数据/InhouseData_scRNA_original.rdata	InhouseData_scRNA_original.rdata	rdata	InhouseData	InhouseData_scRNA_original	Seurat	TRUE	5.0.2	RNA	TRUE	counts.InhouseData_T4380845;counts.InhouseData_T4091568;counts.InhouseData_T4295396;counts.InhouseData_T4398343;counts.InhouseData_T4450398;counts.InhouseData_T4463209a;counts.InhouseData_T4463209b;counts.InhouseData_T4466585;counts.InhouseData_T4469479;counts.InhouseData_T4471438;counts.InhouseData_T8009218;counts.InhouseData_T4465935;counts.InhouseData_T4465219	character	95305	31250	0	TRUE	TRUE	TRUE	13	FALSE	OK
