CNP0000460_P01N	CNP0000460_P01T	CNP0000460_P02N	CNP0000460_P02T	CNP0000460_P03N	CNP0000460_P03T	CNP0000460_P04T	CNP0000460_P05N	CNP0000460_P05T	CNP0000460_P06T	CNP0000460_P07N	CNP0000460_P07T	GSE222315_p1_BCa	GSE222315_p2_BCa	GSE222315_p2_NAT	GSE222315_p3_BCa	GSE222315_p4_BCa	GSE222315_p4_NAT	GSE222315_p5_BCa	GSE222315_p5_NAT	GSE222315_p6_BCa	GSE222315_p7_BCa	GSE222315_p8_BCa	GSE222315_p9_BCa	GSM4006644_BC1	GSM4006645_BC2	GSM4006646_BC3	GSM4006647_BC4	GSM4006648_BC5	GSM4751267_BC6	GSM4751268_BC7	GSM5329919_BCN	HRA003620_BC-01	HRA003620_BC-04	HRA003620_BC-05	HRA003620_BC-11	HRA003620_BC-24	HRA003620_BC-27	HRA003620_BC-30	HRA003620_NC-01	HRA003620_NC-04	HRA003620_NC-05	HRA003620_NC-11	HRA003620_NC-24	HRA003620_NC-27	HRA003620_NC-30	T4091568	T4295396	T4380845	T4398343	T4450398	T4463209a	T4463209b	T4465219	T4465935	T4466585	T4469479	T4471438	T8009218
22	11	0	5	5	2	19	54	9	3	5	3	0	15	0	0	0	0	0	0	5	3	0	9	2	6	15	26	3	1	16	36	0	1	1	0	7	1	2	0	3	0	0	2	1	0	13	0	1	8	0	0	0	883	3	0	1	0	13
3	15	0	26	0	0	13	5	19	18	0	14	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	949	8	5	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
785	100	767	629	755	894	732	184	200	660	514	164	740	4	1537	1687	784	1507	597	1493	161	2	203	15	0	0	0	0	0	0	0	0	1537	38	604	1196	1284	594	1401	219	123	616	761	488	1189	1441	487	1182	505	1483	1037	813	785	142	834	347	557	1138	430
5	0	0	0	2	1	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0	0	0	4	8	3	16	824	6	7	1	0	2	5	100	6
0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	92	0	302	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
5	3	0	4	6	29	8	0	0	29	0	5	8	9	0	13	13	5	2	0	5	3	27	6	25	15	17	11	90	9	38	72	0	61	3	7	10	4	32	0	0	34	1	0	0	2	4	0	4	11	0	1	5	22	0	2	1	7	18
1	1	192	8	2	3	0	0	17	4	0	0	1	0	5	7	1	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	2	0	0	41	3	1	0	48	174	0	43	75	0	1	1	9	0	1	10	0	0	0	0	0	1
0	13	0	4	1	3	354	0	7	80	4	137	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0
0	0	0	12	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	372	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2	0	1	4	7	3	5	0	21	1	8	7	1	2	18	18	4	0	5	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	0	1	0	0	3	2	1	1	4	11	1	34	20	10	9	5	1	5	3	45	36
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	288	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	5	0	0	3	0	0	2
0	0	1	33	1	0	3	0	0	0	0	3	2	0	0	121	2	10	8	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	2	7	0	0	1	3	0	2	3	0	0	2	34	0	40	4	2	0	0	1	5	0
267	70	326	451	374	284	404	95	201	507	151	243	428	7	337	621	476	552	283	529	51	0	47	15	0	0	0	0	0	1	0	0	1143	34	469	1096	480	623	743	159	89	444	911	117	294	751	715	1091	439	1762	1454	1605	714	155	893	372	769	1269	545
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	2	0	0	0	0	0	5	0	1	53	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	5	0	4	0	0	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	53	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
43	12	1595	158	82	53	142	69	228	209	67	49	59	2	4604	873	40	633	97	885	12	0	243	2	0	0	0	0	0	0	0	1	213	5	82	54	6	193	183	170	8	523	890	3	307	2406	99	97	52	321	242	124	832	8	654	125	147	27	57
356	202	66	169	301	651	162	246	21	462	274	188	201	154	15	741	382	397	122	241	49	31	1083	155	13	2	48	0	117	16	30	39	24	447	224	81	241	141	890	279	799	728	175	350	200	1025	451	181	331	456	39	198	158	443	116	408	486	305	579
284	138	94	163	325	360	59	162	18	120	572	96	101	19	22	450	169	339	69	349	16	7	416	46	0	0	0	0	1	0	0	4	10	271	178	82	174	93	537	512	1333	791	524	111	191	1143	713	131	207	232	24	50	62	252	106	1282	948	342	164
218	14	25	18	74	8	18	408	33	57	190	83	226	3	8	45	67	644	58	158	21	285	835	42	0	3	0	0	17	0	0	2146	3	19	0	5	0	15	3	73	2705	505	514	555	886	935	798	62	2	203	1	12	298	153	19	380	51	87	587
58	52	1	20	17	13	92	3	111	144	23	233	1144	10	24	76	455	32	1506	16	40	532	1174	98	0	4	0	0	31	1	7	0	4	31	3	0	11	33	2	0	72	51	20	73	73	173	114	20	45	114	9	57	82	183	12	33	86	1039	85
